row_id,module,full_relative_path,sha256_v58,screen_or_component_name,route,category,scope_class,is_interactive,raw_color_candidate_count,raw_typography_candidate_count,raw_spacing_candidate_count,raw_shape_candidate_count,confirmed_color_violations,confirmed_typography_violations,confirmed_spacing_violations,confirmed_shape_elevation_violations,confirmed_contract_violations,material_bypass_candidates,confirmed_material_bypasses,suspected_duplicate_count,confirmed_duplicate_count,semantics_gap_count,touch_target_gap_count,color_only_state_gap_count,contract_ids_used,exception_ids,target_session,accessibility_target_session,baseline_status,notes,v61_sha256,v61_status,v61_open_confirmed,v61_new_candidates,v61_notes,v62_sha256,v62_status,v62_open_confirmed,v62_candidates,v62_notes,v63_sha256,v63_status,v63_open_confirmed,v63_new_candidates,v63_notes,v64_sha256,v64_status,v64_open_confirmed,v64_candidate_state,v64_wave,v64_notes,v65_sha256,v65_a11y_classification,v65_semantics_status,v65_touch_status,v65_color_only_status,v65_contrast_status,v65_font_scale_status,v65_direction_status,v65_runtime_required,v65_wave,v65_findings,v65_notes
1,app,app/src/main/kotlin/com/autodrive/app/PermissionsDeniedDialog.kt,06b45ca947cea396c19431068c2a94f2051fc50c0f1491806ac0bd8ff27e1cd8,PermissionsDeniedDialog,NONE,APP_FEATURE,APP_FEATURE,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DS-CMP-001|DS-CMP-003|DS-CMP-020,NONE,v64,v65,CLEAN_AT_BASELINE,touch-target/color-only-state final verification assigned to v65; explicit sub-48 visual size is not treated as confirmed hitbox failure because Material minimum-interactive behavior may expand it,06b45ca947cea396c19431068c2a94f2051fc50c0f1491806ac0bd8ff27e1cd8,UNCHANGED_FROM_V59,INHERITED,INHERITED,Historical v59 row preserved,06b45ca947cea396c19431068c2a94f2051fc50c0f1491806ac0bd8ff27e1cd8,UNCHANGED_FROM_V61,INHERITED,INHERITED,v61 state carried forward; not v62 scope,06b45ca947cea396c19431068c2a94f2051fc50c0f1491806ac0bd8ff27e1cd8,UNCHANGED_FROM_V62,INHERITED,INHERITED,v62 state carried forward; not v63 scope,06b45ca947cea396c19431068c2a94f2051fc50c0f1491806ac0bd8ff27e1cd8,VERIFIED_CLEAN_CARRY_FORWARD,0,NONE,Wave B,No production edit; v63 hash preserved.,06b45ca947cea396c19431068c2a94f2051fc50c0f1491806ac0bd8ff27e1cd8,VERIFIED_A11Y_CLEAN_V65,PASS_STATIC,PASS_STATIC,PASS_STATIC,PASS_STATIC,NOT_REQUIRED_STATIC,PASS_STATIC_RTL_SOURCE,true,Wave C,,VERIFY_ONLY; no unjustified production mutation.
2,app,app/src/main/kotlin/com/autodrive/app/feature/competition/presentation/WeeklyCompetitionScreen.kt,69fc0bc1c8a2333948b40c2b84000aaa150917ce9d93a820deddfcd9735e5447,WeeklyCompetitionScreen,weekly_competition,COMPETITION,APP_FEATURE,true,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,DS-CMP-001|DS-CMP-002|DS-CMP-010|DS-CMP-012|DS-PAT-001|DS-PAT-013|DS-PAT-014,NONE,v64,v65,DEBT_RECORDED,Material candidates=1; confirmed exact mappings=1; touch-target/color-only-state final verification assigned to v65; explicit sub-48 visual size is not treated as confirmed hitbox failure because Material minimum-interactive behavior may expand it,69fc0bc1c8a2333948b40c2b84000aaa150917ce9d93a820deddfcd9735e5447,UNCHANGED_FROM_V59,INHERITED,INHERITED,Historical v59 row preserved,69fc0bc1c8a2333948b40c2b84000aaa150917ce9d93a820deddfcd9735e5447,UNCHANGED_FROM_V61,INHERITED,INHERITED,v61 state carried forward; not v62 scope,69fc0bc1c8a2333948b40c2b84000aaa150917ce9d93a820deddfcd9735e5447,UNCHANGED_FROM_V62,INHERITED,INHERITED,v62 state carried forward; not v63 scope,cc645e29821188fe018b8ef18ea3f2f1c0e9ec8bdff216bf97cab2dd8e8f0d82,MIGRATED_V64,0,NONE,Wave A,Official component adoption complete; behavior ownership preserved.,cc645e29821188fe018b8ef18ea3f2f1c0e9ec8bdff216bf97cab2dd8e8f0d82,VERIFIED_A11Y_CLEAN_V65,PASS_STATIC,PASS_STATIC,PASS_STATIC,PASS_STATIC,NOT_REQUIRED_STATIC,RUNTIME_BLOCKED,true,Wave A,,VERIFY_ONLY; no unjustified production mutation.
3,app,app/src/main/kotlin/com/autodrive/app/feature/home/presentation/HomeHeroComponents.kt,e5f95dda54d7da9861ada7ac51cf7b591fe90d03acb36f5610fd025d0b554635,HomeHeroComponents,NONE,HOME,APP_FEATURE,true,31,6,41,5,1,1,1,1,3,1,0,0,0,0,0,0,NONE,NONE,v61,v65,DEBT_RECORDED,lexical candidates retained separately from confirmed repeated/shared findings; Material candidates=1; confirmed exact mappings=0; touch-target/color-only-state final verification assigned to v65; explicit sub-48 visual size is not treated as confirmed hitbox failure because Material minimum-interactive behavior may expand it,7aaddb37639e9dd24eb9e26ed5363019095fd86646cb4cdbb2ad902bed7af093,MIGRATED_V61,0,0,HOME_V1 contract accepted; historical v59 fields preserved,7aaddb37639e9dd24eb9e26ed5363019095fd86646cb4cdbb2ad902bed7af093,UNCHANGED_FROM_V61,INHERITED,INHERITED,v61 state carried forward; not v62 scope,7aaddb37639e9dd24eb9e26ed5363019095fd86646cb4cdbb2ad902bed7af093,UNCHANGED_FROM_V62,INHERITED,INHERITED,v62 state carried forward; not v63 scope,7aaddb37639e9dd24eb9e26ed5363019095fd86646cb4cdbb2ad902bed7af093,UNCHANGED_FROM_V63,INHERITED,HISTORICAL_ACCEPTED,,Carry-forward outside v64 component-adoption target.,7aaddb37639e9dd24eb9e26ed5363019095fd86646cb4cdbb2ad902bed7af093,VERIFIED_A11Y_CLEAN_V65,PASS_STATIC,RUNTIME_BLOCKED,PASS_STATIC,PASS_STATIC,RUNTIME_BLOCKED,PASS_STATIC_RTL_SOURCE,true,Wave A,,VERIFY_ONLY; no unjustified production mutation.
4,app,app/src/main/kotlin/com/autodrive/app/feature/home/presentation/HomeScreen.kt,538cfa58e741ba256e365f468cceb2a69b582a4c63a98523e5337f94ec014a27,HomeScreen,home,HOME,APP_FEATURE,true,4,6,17,1,1,1,1,1,4,0,0,1,0,0,0,0,DS-CMP-005|DS-CMP-014,NONE,v61,v65,DEBT_RECORDED,"lexical candidates retained separately from confirmed repeated/shared findings; HomeHeader is a duplicate candidate for ScreenHeader responsibility, but not confirmed DS-DUP because visual/slot contract differs; touch-target/color-only-state final verification assigned to v65; explicit sub-48 visual size is not treated as confirmed hitbox failure because Material minimum-interactive behavior may expand it",07188a8105b509f2443766182387fc3748040510ab35c777313f89b122efcc18,MIGRATED_V61,0,0,HOME_V1 contract accepted; historical v59 fields preserved,07188a8105b509f2443766182387fc3748040510ab35c777313f89b122efcc18,UNCHANGED_FROM_V61,INHERITED,INHERITED,v61 state carried forward; not v62 scope,07188a8105b509f2443766182387fc3748040510ab35c777313f89b122efcc18,UNCHANGED_FROM_V62,INHERITED,INHERITED,v62 state carried forward; not v63 scope,07188a8105b509f2443766182387fc3748040510ab35c777313f89b122efcc18,UNCHANGED_FROM_V63,INHERITED,NONE,,Carry-forward outside v64 component-adoption target.,07188a8105b509f2443766182387fc3748040510ab35c777313f89b122efcc18,VERIFIED_A11Y_CLEAN_V65,PASS_STATIC,PASS_STATIC,PASS_STATIC,PASS_STATIC,RUNTIME_BLOCKED,PASS_STATIC_RTL_SOURCE,true,Wave A,,VERIFY_ONLY; no unjustified production mutation.
5,app,app/src/main/kotlin/com/autodrive/app/feature/home/presentation/HomeSupportCards.kt,6c9d3270f2e663b62fa19c57f4f391010a1dc13dad3fb2d8fe511610e97f41d9,HomeSupportCards,NONE,HOME,APP_FEATURE,true,17,9,32,7,1,1,1,1,1,0,0,0,0,0,0,0,NONE,NONE,v61,v65,DEBT_RECORDED,lexical candidates retained separately from confirmed repeated/shared findings; touch-target/color-only-state final verification assigned to v65; explicit sub-48 visual size is not treated as confirmed hitbox failure because Material minimum-interactive behavior may expand it,0ef2f25f24066e7af13ebb280a0040713f9c9d513d0fcd2559011b7f1f035837,MIGRATED_V61,0,0,HOME_V1 contract accepted; historical v59 fields preserved,0ef2f25f24066e7af13ebb280a0040713f9c9d513d0fcd2559011b7f1f035837,UNCHANGED_FROM_V61,INHERITED,INHERITED,v61 state carried forward; not v62 scope,0ef2f25f24066e7af13ebb280a0040713f9c9d513d0fcd2559011b7f1f035837,UNCHANGED_FROM_V62,INHERITED,INHERITED,v62 state carried forward; not v63 scope,0ef2f25f24066e7af13ebb280a0040713f9c9d513d0fcd2559011b7f1f035837,UNCHANGED_FROM_V63,INHERITED,NONE,,Carry-forward outside v64 component-adoption target.,0ef2f25f24066e7af13ebb280a0040713f9c9d513d0fcd2559011b7f1f035837,VERIFIED_A11Y_CLEAN_V65,PASS_STATIC,RUNTIME_BLOCKED,PASS_STATIC,PASS_STATIC,NOT_REQUIRED_STATIC,RUNTIME_BLOCKED,true,Wave A,,VERIFY_ONLY; no unjustified production mutation.
6,app,app/src/main/kotlin/com/autodrive/app/feature/home/presentation/RealtimeStatusBar.kt,a397ff55159c1d86041ded0a1f3513bde47cb1ab9e5b7b5ae84c48bbe8420778,RealtimeStatusBar,NONE,HOME,APP_FEATURE,false,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,NONE,v61,NOT_APPLICABLE,CLEAN_AT_BASELINE,lexical candidates retained separately from confirmed repeated/shared findings,a397ff55159c1d86041ded0a1f3513bde47cb1ab9e5b7b5ae84c48bbe8420778,VERIFIED_CLEAN_UNCHANGED,0,0,HOME_V1 contract accepted; historical v59 fields preserved,a397ff55159c1d86041ded0a1f3513bde47cb1ab9e5b7b5ae84c48bbe8420778,UNCHANGED_FROM_V61,INHERITED,INHERITED,v61 state carried forward; not v62 scope,a397ff55159c1d86041ded0a1f3513bde47cb1ab9e5b7b5ae84c48bbe8420778,UNCHANGED_FROM_V62,INHERITED,INHERITED,v62 state carried forward; not v63 scope,a397ff55159c1d86041ded0a1f3513bde47cb1ab9e5b7b5ae84c48bbe8420778,UNCHANGED_FROM_V63,INHERITED,NONE,,Carry-forward outside v64 component-adoption target.,a397ff55159c1d86041ded0a1f3513bde47cb1ab9e5b7b5ae84c48bbe8420778,RECLASSIFIED_V65,PASS_STATIC,PASS_STATIC,PASS_STATIC,PASS_STATIC,NOT_REQUIRED_STATIC,PASS_STATIC_RTL_SOURCE,true,Wave A,,status surface: connection state must remain understandable without color VERIFY_ONLY; no unjustified production mutation. Visible status text already conveys connection state; ViewModel symbol/body untouched.
7,app,app/src/main/kotlin/com/autodrive/app/feature/info/presentation/AboutAppScreen.kt,302fac510879bf9014a02d9202d2dd0589cb2b12c45d52e4a324350f2324b836,AboutAppScreen,about_app,INFO,APP_FEATURE,true,0,4,37,11,0,0,0,0,0,1,1,0,0,0,0,0,NONE,NONE,v64,v65,DEBT_RECORDED,lexical candidates retained separately from confirmed repeated/shared findings; Material candidates=1; confirmed exact mappings=1; touch-target/color-only-state final verification assigned to v65; explicit sub-48 visual size is not treated as confirmed hitbox failure because Material minimum-interactive behavior may expand it,302fac510879bf9014a02d9202d2dd0589cb2b12c45d52e4a324350f2324b836,UNCHANGED_FROM_V59,INHERITED,INHERITED,Historical v59 row preserved,302fac510879bf9014a02d9202d2dd0589cb2b12c45d52e4a324350f2324b836,UNCHANGED_FROM_V61,INHERITED,INHERITED,v61 state carried forward; not v62 scope,302fac510879bf9014a02d9202d2dd0589cb2b12c45d52e4a324350f2324b836,UNCHANGED_FROM_V62,INHERITED,INHERITED,v62 state carried forward; not v63 scope,d9bc7a3213ef927255bceb9cc00dbb0087f926edca56568f89e2c7d191a91dfd,MIGRATED_V64,0,NONE,Wave B,Official component adoption complete; behavior ownership preserved.,d9bc7a3213ef927255bceb9cc00dbb0087f926edca56568f89e2c7d191a91dfd,VERIFIED_A11Y_CLEAN_V65,PASS_STATIC,RUNTIME_BLOCKED,PASS_STATIC,PASS_STATIC,RUNTIME_BLOCKED,PASS_STATIC_RTL_SOURCE,true,Wave A,,VERIFY_ONLY; no unjustified production mutation.
8,app,app/src/main/kotlin/com/autodrive/app/feature/info/presentation/FaqScreen.kt,ec846f455a8ecb44ef05b05ce426e798056ea5fe2ed8b9e6e524e2578e2e10f7,FaqScreen,faq,INFO,APP_FEATURE,true,0,2,23,4,0,0,0,0,0,4,4,0,0,0,0,0,NONE,NONE,v64,v65,DEBT_RECORDED,lexical candidates retained separately from confirmed repeated/shared findings; Material candidates=4; confirmed exact mappings=4; touch-target/color-only-state final verification assigned to v65; explicit sub-48 visual size is not treated as confirmed hitbox failure because Material minimum-interactive behavior may expand it,ec846f455a8ecb44ef05b05ce426e798056ea5fe2ed8b9e6e524e2578e2e10f7,UNCHANGED_FROM_V59,INHERITED,INHERITED,Historical v59 row preserved,ec846f455a8ecb44ef05b05ce426e798056ea5fe2ed8b9e6e524e2578e2e10f7,UNCHANGED_FROM_V61,INHERITED,INHERITED,v61 state carried forward; not v62 scope,ec846f455a8ecb44ef05b05ce426e798056ea5fe2ed8b9e6e524e2578e2e10f7,UNCHANGED_FROM_V62,INHERITED,INHERITED,v62 state carried forward; not v63 scope,3d9d62d6b704d32abc0cd7573320c1d5a8d893ec8fc3eeb044f82ec8b5f7dc38,MIGRATED_V64,0,NONE,Wave B,Official component adoption complete; behavior ownership preserved.,e3b153f04080b46ece2f5675fc04893e1a744b2ef9ae9b8ad51ac0a34e4eb7f5,REPAIRED_A11Y_V65,PASS_STATIC,RUNTIME_BLOCKED,PASS_STATIC,PASS_STATIC,RUNTIME_BLOCKED,PASS_STATIC_RTL_SOURCE,true,Wave A,V65-001-54F51D005388,Static finding(s) repaired under frozen mutation allowlist.
9,app,app/src/main/kotlin/com/autodrive/app/feature/info/presentation/PrivacyPolicyScreen.kt,81a72a3603f315b10d8884bdc8d90a5c7927e714f8196502626d31a0e5786115,PrivacyPolicyScreen,privacy_policy,INFO,APP_FEATURE,true,0,2,20,5,0,0,0,0,0,2,2,0,0,0,0,0,NONE,NONE,v64,v65,DEBT_RECORDED,lexical candidates retained separately from confirmed repeated/shared findings; Material candidates=2; confirmed exact mappings=2; touch-target/color-only-state final verification assigned to v65; explicit sub-48 visual size is not treated as confirmed hitbox failure because Material minimum-interactive behavior may expand it,81a72a3603f315b10d8884bdc8d90a5c7927e714f8196502626d31a0e5786115,UNCHANGED_FROM_V59,INHERITED,INHERITED,Historical v59 row preserved,81a72a3603f315b10d8884bdc8d90a5c7927e714f8196502626d31a0e5786115,UNCHANGED_FROM_V61,INHERITED,INHERITED,v61 state carried forward; not v62 scope,81a72a3603f315b10d8884bdc8d90a5c7927e714f8196502626d31a0e5786115,UNCHANGED_FROM_V62,INHERITED,INHERITED,v62 state carried forward; not v63 scope,11285193b479595c0552d64ebe9021e1f535f76288391a42bb07c4d795a45076,MIGRATED_V64,0,NONE,Wave B,Official component adoption complete; behavior ownership preserved.,11285193b479595c0552d64ebe9021e1f535f76288391a42bb07c4d795a45076,VERIFIED_A11Y_CLEAN_V65,PASS_STATIC,RUNTIME_BLOCKED,PASS_STATIC,PASS_STATIC,RUNTIME_BLOCKED,PASS_STATIC_RTL_SOURCE,true,Wave A,,VERIFY_ONLY; no unjustified production mutation.
10,app,app/src/main/kotlin/com/autodrive/app/feature/reports/presentation/log/ActivityLogScreen.kt,2115a35fd0a9423d7c2f7ba3ba9a8ec2647cf84e0d98b0546a1e97bbf7a22019,ActivityLogScreen,activity_log?filter={filter},REPORTS,APP_FEATURE,true,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,DS-CMP-005|DS-CMP-010|DS-CMP-011|DS-CMP-014|DS-CMP-025|DS-CMP-026|DS-CMP-027|DS-CMP-028|DS-PAT-001|DS-PAT-002|DS-PAT-013|DS-PAT-014,NONE,v62,v65,DEBT_RECORDED,touch-target/color-only-state final verification assigned to v65; explicit sub-48 visual size is not treated as confirmed hitbox failure because Material minimum-interactive behavior may expand it,2115a35fd0a9423d7c2f7ba3ba9a8ec2647cf84e0d98b0546a1e97bbf7a22019,UNCHANGED_FROM_V59,INHERITED,INHERITED,Historical v59 row preserved,5203fa2037e352a427d7d0a826f9bcef1ea6d6edbb59c969f92912fbf57663e1,MIGRATED_V62,0,0,REPORTS_V1 / confirmed Material debt closed in v62; behavior protected,5203fa2037e352a427d7d0a826f9bcef1ea6d6edbb59c969f92912fbf57663e1,UNCHANGED_FROM_V62,INHERITED,INHERITED,v62 state carried forward; not v63 scope,5203fa2037e352a427d7d0a826f9bcef1ea6d6edbb59c969f92912fbf57663e1,UNCHANGED_FROM_V63,INHERITED,NONE,,Carry-forward outside v64 component-adoption target.,5203fa2037e352a427d7d0a826f9bcef1ea6d6edbb59c969f92912fbf57663e1,VERIFIED_A11Y_CLEAN_V65,PASS_STATIC,PASS_STATIC,PASS_STATIC,PASS_STATIC,NOT_REQUIRED_STATIC,RUNTIME_BLOCKED,true,Wave A,,VERIFY_ONLY; no unjustified production mutation.
